model,layer,roi,split,subject,n_features_1_model,n_features_2_brain,metric,score
sub-08,V1,V1,train,sub-07,560,420,rsa,0.07908542454242706
sub-08,V1,V2,train,sub-07,560,470,rsa,0.07887288928031921
sub-08,V1,V3,train,sub-07,560,348,rsa,0.044649068266153336
sub-08,V1,V4,train,sub-07,560,451,rsa,0.05147230252623558
sub-08,V1,V3A,train,sub-07,560,55,rsa,0.0077036963775753975
sub-08,V1,V3B,train,sub-07,560,103,rsa,0.01283001434057951
sub-08,V1,V6,train,sub-07,560,94,rsa,0.01304005179554224
sub-08,V1,V6A,train,sub-07,560,63,rsa,0.007953076623380184
sub-08,V1,V7,train,sub-07,560,37,rsa,0.008520624600350857
sub-08,V1,V8,train,sub-07,560,80,rsa,0.03117402270436287
sub-08,V1,FFC,train,sub-07,560,265,rsa,0.02494106814265251
sub-08,V1,PIT,train,sub-07,560,101,rsa,0.024687379598617554
sub-08,V1,IPS1,train,sub-07,560,191,rsa,0.008081854321062565
sub-08,V1,MST,train,sub-07,560,149,rsa,0.029417866840958595
sub-08,V1,MT,train,sub-07,560,100,rsa,0.02167159877717495
sub-08,V1,FST,train,sub-07,560,167,rsa,0.01310284249484539
sub-08,V1,LO1,train,sub-07,560,80,rsa,0.021744802594184875
sub-08,V1,LO2,train,sub-07,560,67,rsa,0.027768807485699654
sub-08,V1,LO3,train,sub-07,560,125,rsa,0.031132811680436134
sub-08,V1,V7,train,sub-07,560,37,rsa,0.008520624600350857
sub-08,V1,IP0,train,sub-07,560,73,rsa,0.0076663196086883545
sub-08,V1,IP1,train,sub-07,560,94,rsa,0.0004507328267209232
sub-08,V1,MIP,train,sub-07,560,71,rsa,0.0013645094586536288
sub-08,V1,VIP,train,sub-07,560,91,rsa,0.0036688356194645166
sub-08,V1,LIPd,train,sub-07,560,65,rsa,0.00300633255392313
sub-08,V1,LIPv,train,sub-07,560,95,rsa,0.004747055470943451
sub-08,V1,AIP,train,sub-07,560,224,rsa,0.0029033366590738297
sub-08,V1,7Pm,train,sub-07,560,5,rsa,0.0011988295009359717
sub-08,V1,7PL,train,sub-07,560,40,rsa,0.0016073215520009398
sub-08,V1,7PC,train,sub-07,560,153,rsa,0.0042518191039562225
sub-08,V1,7Am,train,sub-07,560,78,rsa,0.0004009280528407544
sub-08,V1,7AL,train,sub-07,560,64,rsa,0.001849651918746531
sub-08,V1,VVC,train,sub-07,560,157,rsa,0.026977356523275375
sub-08,V1,VMV2,train,sub-07,560,66,rsa,0.007299535907804966
sub-08,V1,VMV3,train,sub-07,560,82,rsa,0.016524219885468483
sub-08,V1,VMV1,train,sub-07,560,27,rsa,0.007109039928764105
sub-08,V1,PHA2,train,sub-07,560,55,rsa,0.005022205878049135
sub-08,V1,PHA3,train,sub-07,560,149,rsa,0.020608631893992424
sub-08,V1,PH,train,sub-07,560,304,rsa,0.01480358000844717
sub-08,V2,V1,train,sub-07,482,420,rsa,0.08564011007547379
sub-08,V2,V2,train,sub-07,482,470,rsa,0.10751423984766006
sub-08,V2,V3,train,sub-07,482,348,rsa,0.07632613927125931
sub-08,V2,V4,train,sub-07,482,451,rsa,0.07609400898218155
sub-08,V2,V3A,train,sub-07,482,55,rsa,0.01850522682070732
sub-08,V2,V3B,train,sub-07,482,103,rsa,0.019705554470419884
sub-08,V2,V6,train,sub-07,482,94,rsa,0.029021333903074265
sub-08,V2,V6A,train,sub-07,482,63,rsa,0.02192978374660015
sub-08,V2,V7,train,sub-07,482,37,rsa,0.018388992175459862
sub-08,V2,V8,train,sub-07,482,80,rsa,0.05009019002318382
sub-08,V2,FFC,train,sub-07,482,265,rsa,0.0331290178000927
